Date,Player,Runs,NotOut,Minutes,BallsFaced,Fours,Sixes,StrikeRate,Innings,Participation,Opposition,Ground
2005-10-31,M Muralidaran,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,India,Jaipur
2005-11-06,MF Maharoof,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,India,Ahmedabad
2005-11-06,CRD Fernando,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,India,Ahmedabad
2005-11-06,WPUJC Vaas,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,India,Ahmedabad
2005-11-06,DNT Zoysa,NA,FALSE,NA,NA,NA,NA,NA,2,Sub,India,Ahmedabad
2005-11-06,M Muralidaran,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,India,Ahmedabad
2005-11-09,DNT Zoysa,NA,FALSE,NA,NA,NA,NA,NA,1,Sub,India,Rajkot
2005-11-12,CRD Fernando,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,India,Vadodara
2005-11-12,DNT Zoysa,NA,FALSE,NA,NA,NA,NA,NA,1,Sub,India,Vadodara
2005-12-31,CRD Fernando,NA,FALSE,NA,NA,NA,NA,NA,1,Sub,New Zealand,Queenstown
2006-01-03,J Mubarak,NA,FALSE,NA,NA,NA,NA,NA,1,Sub,New Zealand,Christchurch
2006-01-03,M Muralidaran,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,New Zealand,Christchurch
2006-01-03,CRD Fernando,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,New Zealand,Christchurch
2006-01-06,M Muralidaran,NA,FALSE,NA,NA,NA,NA,NA,2,Sub,New Zealand,Wellington
2006-01-08,PDRL Perera,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,New Zealand,Napier
2006-01-08,HMCM Bandara,NA,FALSE,NA,NA,NA,NA,NA,1,Sub,New Zealand,Napier
2006-01-08,CRD Fernando,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,New Zealand,Napier
2006-01-08,M Muralidaran,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,New Zealand,Napier
2006-01-13,PDRL Perera,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Australia,Melbourne (Docklands)
2006-01-13,CRD Fernando,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,Australia,Melbourne (Docklands)
2006-01-13,M Muralidaran,NA,FALSE,NA,NA,NA,NA,NA,2,Sub,Australia,Melbourne (Docklands)
2006-01-17,KMDN Kulasekara,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,South Africa,Brisbane
2006-01-17,PDRL Perera,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,South Africa,Brisbane
2006-01-17,HMCM Bandara,NA,FALSE,NA,NA,NA,NA,NA,1,Sub,South Africa,Brisbane
2006-01-17,M Muralidaran,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,South Africa,Brisbane
2006-01-22,PDRL Perera,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,Australia,Sydney
2006-01-22,HMCM Bandara,NA,FALSE,NA,NA,NA,NA,NA,1,Sub,Australia,Sydney
2006-01-22,KMDN Kulasekara,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,Australia,Sydney
2006-01-22,M Muralidaran,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,Australia,Sydney
2006-01-24,PDRL Perera,NA,FALSE,NA,NA,NA,NA,NA,2,Sub,South Africa,Adelaide
2006-01-24,KMDN Kulasekara,NA,FALSE,NA,NA,NA,NA,NA,2,DNB,South Africa,Adelaide
2006-01-26,HMCM Bandara,NA,FALSE,NA,NA,NA,NA,NA,1,Sub,Australia,Adelaide
2006-01-26,M Muralidaran,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,Australia,Adelaide
2006-01-29,CRD Fernando,NA,FALSE,NA,NA,NA,NA,NA,1,DNB,Australia,Perth
2006-01-29,WCA Ganegama,NA,FALSE,NA,NA,NA,NA,NA,1,Sub,Australia,Perth
2006-01-31,CRD Fernando,NA,FALSE,NA,NA,NA,NA,NA,1,Sub,South Africa,Perth
